,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Russia,Russia,GPE,0.01437028,0.38256143,en,119.40000000,4076899-5,2017370,A,60.00000000,100.00000000,ASIA,Russia,ESB
Moscow,Moscow,GPE,-0.05278446,0.37278173,en,105.80000000,4074987-3,524901,P,55.75222000,37.61556000,EUROPE,Russia,WCE
Kamchatka,Kamchatka,GPE,0.04060606,0.34590909,en,10.00000000,,2125072,A,55.00000000,159.00000000,ASIA,Russia,RFE
Sverdlovsk,Sverdlovsk,GPE,-0.13100137,0.37997257,en,8.10000000,4294585-9,1486209,P,56.85190000,60.61220000,ASIA,Russia,WSB
Belarus,Belarus,GPE,0.05769231,0.53205128,en,6.50000000,1009143-9,630336,A,53.00000000,28.00000000,EUROPE,Belarus,WCE
Chelyabinsk,Chelyabinsk,LOC,-0.04361979,0.55078125,en,6.40000000,4122739-6,1508291,P,55.16110000,61.42877000,ASIA,Russia,WSB
Marina Makarova,Marina Makarova,GPE,-0.02111111,0.33277778,en,5.00000000,,0,,,,,,
Perm,Perm,GPE,-0.04960317,0.34722222,en,4.20000000,504439-X,511196,P,58.01046000,56.25017000,EUROPE,Russia,EEU
the Russian Federation,the Russian Federation,GPE,-0.08928571,0.30000000,en,3.50000000,4051307-5,3576468,A,13.88333000,-60.96667000,CENTRAL-AMERICA,Saint Lucia,CAR
the Pacific Ocean,the Pacific Ocean,LOC,0.00000000,0.00000000,en,3.40000000,,7670505,H,7.11300000,171.25400000,PACIFIC,Marshall Islands,EPO
the Far East,the Far East,LOC,0.08732782,0.95977961,en,3.30000000,,5116917,P,40.60538000,-73.75513000,NORTH-AMERICA,United States,ENA
MOSCOW,MOSCOW,GPE,0.00407299,0.84677419,en,3.10000000,4074987-3,524901,P,55.75222000,37.61556000,EUROPE,Russia,WCE
the Kuril Islands,the Kuril Islands,LOC,0.03846154,0.15384615,en,2.60000000,,0,,,,,,
Baikal,Baikal,GPE,-0.00427350,0.10683761,en,2.60000000,4080244-9,2026982,H,54.00000000,109.00000000,ASIA,Russia,ESB
Minsk,Minsk,GPE,0.00000000,0.00000000,en,2.60000000,4039510-8,625144,P,53.90000000,27.56667000,EUROPE,Belarus,WCE
North-West,North-West,LOC,0.11538462,0.50000000,en,2.60000000,,11887751,L,42.77268000,-116.95790000,NORTH-AMERICA,United States,WNA
Roman Vilfand,Roman Vilfand,GPE,-0.15064103,0.15064103,en,2.60000000,,0,,,,,,
Japan,Japan,GPE,-0.34615385,0.76923077,en,2.60000000,4028495-5,1861060,A,35.68536000,139.75309000,ASIA,Japan,EAS
Kharkov,Kharkov,GPE,-0.07638889,0.22309028,en,2.40000000,4009782-1,706483,P,49.98177000,36.25475000,EUROPE,Ukraine,WCE
Earth,Earth,LOC,0.11174242,0.33428030,en,2.40000000,,0,,,,,,
China,China,GPE,-0.95238095,1.05820106,en,2.10000000,4009937-4,1814991,A,35.00000000,105.00000000,ASIA,China,EAS
Indonesia,Indonesia,GPE,0.00000000,0.00000000,en,1.90000000,4026761-1,1643084,A,-5.00000000,120.00000000,ASIA,Indonesia,SEA
Shiveluch,Shiveluch,LOC,0.10526316,0.18421053,en,1.90000000,,2121274,T,56.65368000,161.36204000,ASIA,Russia,RFE
Belgorod,Belgorod,GPE,0.00000000,0.00000000,en,1.80000000,4005409-3,578072,P,50.60343000,36.58091000,EUROPE,Russia,WCE
Murmansk,Murmansk,LOC,0.05555556,0.21296296,en,1.80000000,4101791-2,524305,P,68.97398000,33.09747000,EUROPE,Russia,NEU
Kilauea,Kilauea,GPE,0.08888889,0.30000000,en,1.80000000,4241215-8,5849346,P,22.21208000,-159.41342000,PACIFIC,United States,NPO
Hawaii,Hawaii,GPE,0.08888889,0.30000000,en,1.80000000,251184-8,5855797,A,20.78785000,-156.38612000,PACIFIC,United States,NPO
Rostov,Rostov,LOC,0.10185185,0.42592593,en,1.80000000,4122720-7,501175,P,47.21997000,39.70769000,EUROPE,Russia,WCE
the Central Military District,the Central Military District,LOC,-0.06712963,0.20601852,en,1.80000000,,4892845,S,42.21250000,-87.81056000,NORTH-AMERICA,United States,ENA
the Desna River,the Desna River,LOC,-0.20833333,0.20833333,en,1.80000000,,0,,,,,,
Ukraine,Ukraine,GPE,0.25000000,0.47222222,en,1.80000000,4061496-7,690791,A,49.00000000,32.00000000,EUROPE,Ukraine,WCE
Arctic,Arctic,LOC,0.11111111,0.52777778,en,1.80000000,,0,,,,,,
Novgorod,Novgorod,GPE,-0.03676471,0.11029412,en,1.70000000,1028176-9,520555,P,56.32867000,44.00205000,EUROPE,Russia,EEU
Yakutia,Yakutia,GPE,0.29411765,0.47058824,en,1.70000000,4264832-4,2013159,P,62.03389000,129.73306000,ASIA,Russia,ESB
Novosibirsk,Novosibirsk,GPE,0.14810924,0.92436975,en,1.70000000,1231921-1,1496747,P,55.02259000,82.93175000,ASIA,Russia,WSB
Sakhalin,Sakhalin,LOC,0.19607843,0.39215686,en,1.70000000,126249-X,2121529,A,50.19167000,142.99167000,ASIA,Russia,RFE
Urals,Urals,LOC,-0.38235294,0.91176471,en,1.70000000,,1488441,T,61.64816000,59.19434000,EUROPE,Russia,EEU
Chukotka,Chukotka,GPE,0.29411765,0.47058824,en,1.70000000,,2126099,A,67.50000000,172.00000000,ASIA,Russia,RAR
Europe,Europe,LOC,0.15625000,0.34722222,en,1.60000000,,0,,,,,,
Buguruslan,Buguruslan,GPE,0.19230769,0.38461538,en,1.30000000,7756938-6,571159,P,53.65540000,52.44200000,EUROPE,Russia,EEU
Plymouth,Plymouth,GPE,0.00000000,0.00000000,en,1.30000000,4117855-5,2186239,P,-39.06667000,174.08333000,OCEANIA,New Zealand,NZ
Orenburg,Orenburg,GPE,-0.03846154,0.96153846,en,1.30000000,4075687-7,515003,P,51.77270000,55.09880000,EUROPE,Russia,EEU
Venezuela,Venezuela,GPE,-0.04807692,0.04807692,en,1.30000000,4062512-6,3625428,A,8.00000000,-66.00000000,SOUTH-AMERICA,Venezuela,NSA
Saratov,Saratov,GPE,0.11538462,0.19230769,en,1.30000000,4118434-8,498677,P,51.54056000,46.00861000,EUROPE,Russia,EEU
Urgant,Urgant,GPE,0.00000000,0.00000000,en,1.30000000,,0,,,,,,
Kyiv,Kyiv,GPE,0.38461538,0.60256410,en,1.30000000,4030522-3,703448,P,50.45466000,30.52380000,EUROPE,Ukraine,WCE
Kazakhstan,Kazakhstan,GPE,0.10489510,0.34965035,en,1.30000000,1009150-6,1522867,A,48.00000000,68.00000000,ASIA,Kazakhstan,WSB
Montserrat,Montserrat,GPE,0.19230769,0.25641026,en,1.30000000,4274693-0,3578097,A,16.75000000,-62.20000000,CENTRAL-AMERICA,Montserrat,CAR
Armenia,Armenia,GPE,-0.15534466,0.42082917,en,1.30000000,4085931-9,174982,A,40.25000000,45.00000000,ASIA,Armenia,WCA
Dubai,Dubai,GPE,0.00000000,0.00000000,en,1.00000000,4204044-9,292223,P,25.07725000,55.30927000,ASIA,United Arab Emirates,ARP
Mount Semeru,Mount Semeru,LOC,0.00000000,0.00000000,en,1.00000000,,1627837,T,-8.10000000,112.91667000,ASIA,Indonesia,SEA
Kaluga,Kaluga,GPE,-0.35000000,0.75000000,en,1.00000000,4359266-1,553915,P,54.52930000,36.27542000,EUROPE,Russia,WCE
Reunion,Reunion,LOC,0.12222222,0.36666667,en,1.00000000,4049639-9,935317,A,-21.10000000,55.60000000,INDIAN,Reunion,SIO
the Indian Ocean,the Indian Ocean,LOC,0.12222222,0.36666667,en,1.00000000,,0,,,,,,
the Russian Federation - https://t.me/tribute/app?startapp=dF9w,the Russian Federation - https://t.me/tribute/app?startapp=dF9w,GPE,-0.15000000,0.26250000,en,1.00000000,,0,,,,,,
Italy,Italy,GPE,-0.07777778,0.14444444,en,1.00000000,4027833-5,3175395,A,42.83333000,12.83333000,EUROPE-AFRICA,Italy,MED
Reunion Island,Reunion Island,LOC,0.00000000,0.00000000,en,1.00000000,,935316,T,-21.11429000,55.54756000,INDIAN,Reunion,SIO
Shoigu,Shoigu,GPE,-0.08181818,0.32727273,en,1.00000000,,0,,,,,,
Leningrad,Leningrad,GPE,0.00000000,0.00000000,en,1.00000000,2018305-7,536199,A,60.00000000,32.00000000,EUROPE,Russia,NEU
Saburov,Saburov,GPE,0.00000000,0.00000000,en,1.00000000,,821368,P,53.61532000,38.70810000,EUROPE,Russia,WCE
Teriberka,Teriberka,GPE,0.05000000,0.19166667,en,1.00000000,1190254697,483379,P,69.16088000,35.14527000,EUROPE,Russia,NEU
East Asia,East Asia,LOC,0.00000000,0.00000000,en,1.00000000,,12200097,L,32.62857000,51.63140000,ASIA,Iran,WCA
earth,earth,LOC,-0.06250000,0.18750000,en,1.00000000,,0,,,,,,
the Orenburg region,the Orenburg region,LOC,-0.15714286,0.76785714,en,1.00000000,,4470054,P,35.24290000,-81.87455000,NORTH-AMERICA,United States,ENA
Wuhu,Wuhu,GPE,0.00000000,0.00000000,en,1.00000000,7567865-2,1791236,P,31.35259000,118.42947000,ASIA,China,EAS
Komi Republic,Komi Republic,GPE,0.00000000,0.00000000,en,1.00000000,,545854,A,64.12500000,54.79167000,EUROPE,Russia,EEU
Pompeii,Pompeii,GPE,0.00000000,0.00000000,en,1.00000000,4046755-7,3170336,S,40.75000000,14.48333000,EUROPE-AFRICA,Italy,MED
Russia Marina,Russia Marina,LOC,-0.10000000,0.10000000,en,1.00000000,,529237,P,55.65000000,37.71667000,EUROPE,Russia,WCE
Northern Urals,Northern Urals,GPE,0.00000000,0.00000000,en,1.00000000,,1492575,T,65.00000000,60.00000000,EUROPE,Russia,EEU
Manpupuner plateau,Manpupuner plateau,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Spartak,Spartak,GPE,0.25000000,0.75000000,en,1.00000000,,608192,P,51.43616000,52.08080000,EUROPE,Kazakhstan,EEU
Sahara,Sahara,LOC,0.25000000,0.75000000,en,1.00000000,,0,,,,,,
United Russia,United Russia,GPE,0.80000000,0.90000000,en,1.00000000,,11086805,S,35.49317000,139.69056000,ASIA,Japan,EAS
taiga,taiga,GPE,0.00000000,0.00000000,en,1.00000000,,1515021,T,50.75000000,98.50000000,ASIA,Mongolia,ESB
Vladimir Tokarev,Vladimir Tokarev,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
the Manpupuner plateau,the Manpupuner plateau,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Mogilev,Mogilev,LOC,0.10000000,1.00000000,en,1.00000000,4384842-4,625665,P,53.90876000,30.34044000,EUROPE,Belarus,WCE
the Perm region,the Perm region,LOC,0.00000000,1.00000000,en,1.00000000,,5308521,H,34.00202000,-109.26853000,NORTH-AMERICA,United States,WNA
Petropavlovsk-Kamchatsky,Petropavlovsk-Kamchatsky,GPE,0.00000000,0.00000000,en,1.00000000,4663679-1,2122104,P,53.06393000,158.62751000,ASIA,Russia,RFE
St. Petersburg,St. Petersburg,GPE,0.40000000,0.70000000,en,1.00000000,2034200-7,498817,P,59.93863000,30.31413000,EUROPE,Russia,NEU
Maslenitsa,Maslenitsa,GPE,-0.35000000,0.75000000,en,1.00000000,,6283081,P,57.69027000,41.30734000,EUROPE,Russia,EEU
Estonia,Estonia,GPE,0.00000000,0.00000000,en,1.00000000,4015587-0,453733,A,59.00000000,26.00000000,EUROPE,Estonia,NEU
Santa Claus,Santa Claus,GPE,-0.25000000,0.35000000,en,1.00000000,,4264457,P,38.12005000,-86.91416000,NORTH-AMERICA,United States,ENA
the Baltic Sea,the Baltic Sea,LOC,-0.25000000,0.35000000,en,1.00000000,,5226143,P,43.76136000,-96.74033000,NORTH-AMERICA,United States,CNA
Volga,Volga,GPE,-0.10000000,0.10000000,en,1.00000000,4079375-8,11961325,L,56.30668000,43.93167000,EUROPE,Russia,EEU
Kemerovo,Kemerovo,GPE,0.20000000,0.45833333,en,1.00000000,4249366-3,1503901,P,55.33333000,86.08333000,ASIA,Russia,WSB
Anzhero-Sudzhensk,Anzhero-Sudzhensk,GPE,0.20000000,0.45833333,en,1.00000000,4738643-5,1511494,P,56.07568000,86.02434000,ASIA,Russia,WSB
Primorsky Krai,Primorsky Krai,LOC,-1.00000000,1.00000000,en,1.00000000,4119146-8,2013348,P,43.10562000,131.87353000,ASIA,Russia,EAS
Crimea,Crimea,LOC,-0.30833333,0.62500000,en,1.00000000,5280853-1,703883,A,45.00000000,34.00000000,EUROPE,Ukraine,WCE
Meteo,Meteo,GPE,-0.10000000,0.20000000,en,1.00000000,,10858768,P,-4.35998000,15.23905000,AFRICA,Democratic Republic of the Congo,CAF
Nikola-Lenivets,Nikola-Lenivets,GPE,0.00000000,0.00000000,en,1.00000000,,522080,P,54.74943000,35.60133000,EUROPE,Russia,WCE
the Caribbean Sea,the Caribbean Sea,LOC,0.00000000,0.00000000,en,1.00000000,4051667-2,3448439,P,-23.54750000,-46.63611000,SOUTH-AMERICA,Brazil,SES
Mo,Mo,GPE,0.10000000,0.50000000,en,1.00000000,,0,,,,,,
Leningrad Region,Leningrad Region,GPE,0.00000000,0.00000000,en,1.00000000,,536199,A,60.00000000,32.00000000,EUROPE,Russia,NEU
the Sumy region,the Sumy region,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Volokolamsk,Volokolamsk,GPE,-0.10000000,0.10000000,en,1.00000000,4273010-7,472433,P,56.03361000,35.96944000,EUROPE,Russia,WCE
the Krasnodar Territory,the Krasnodar Territory,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Belorechensky,Belorechensky,GPE,0.00000000,0.00000000,en,1.00000000,,577885,A,44.80468000,39.76080000,EUROPE-AFRICA,Russia,MED
mo,mo,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
New Year's,New Year's,GPE,0.13636364,0.45454545,en,1.00000000,,3831867,H,-51.93333000,-60.88333000,SOUTH-AMERICA,Falkland Islands,SSA
Sysert,Sysert,GPE,0.10000000,0.40000000,en,1.00000000,7544192-5,1490402,P,56.50171000,60.81978000,ASIA,Russia,WSB
Christmastide,Christmastide,LOC,-0.01666667,0.66666667,en,1.00000000,,0,,,,,,
Geristal,Geristal,GPE,0.00000000,0.22222222,en,1.00000000,,0,,,,,,
the Dome of the Rock,the Dome of the Rock,LOC,0.00000000,0.22222222,en,1.00000000,,5354941,T,37.74596000,-119.53328000,NORTH-AMERICA,United States,WNA
Africa,Africa,LOC,0.30000000,0.50000000,en,1.00000000,,0,,,,,,
North Caucasus,North Caucasus,GPE,0.00000000,0.50000000,en,1.00000000,,11961334,L,44.04283000,43.04880000,ASIA,Russia,WCA
the Chelyabinsk region,the Chelyabinsk region,LOC,-0.16388889,0.34722222,en,1.00000000,,0,,,,,,
the Komi Republic,the Komi Republic,GPE,-0.10000000,0.30000000,en,1.00000000,,0,,,,,,
